date,pr
01-01-2013,6.4
02-01-2013,11.5
03-01-2013,5
04-01-2013,6.5
05-01-2013,2
06-01-2013,0
07-01-2013,12
08-01-2013,1
09-01-2013,
10-01-2013,34
11-01-2013,31.5
12-01-2013,6.5
13-01-2013,3.6
14-01-2013,0
15-01-2013,8.5
16-01-2013,0
17-01-2013,2
18-01-2013,1
19-01-2013,11.5
20-01-2013,1
21-01-2013,0
22-01-2013,0
23-01-2013,0
24-01-2013,0
25-01-2013,0
26-01-2013,0
27-01-2013,0
28-01-2013,0
29-01-2013,0
30-01-2013,0
31-01-2013,0
01-02-2013,0
02-02-2013,0
03-02-2013,4
04-02-2013,1
05-02-2013,0
06-02-2013,32.4
07-02-2013,0.5
08-02-2013,8.6
09-02-2013,19.2
10-02-2013,64
11-02-2013,56
12-02-2013,34.5
13-02-2013,4
14-02-2013,2.4
15-02-2013,
16-02-2013,5.6
17-02-2013,0
18-02-2013,0.5
19-02-2013,0
20-02-2013,0.5
21-02-2013,
22-02-2013,1.5
23-02-2013,105.5
24-02-2013,5.6
25-02-2013,0
26-02-2013,10
27-02-2013,2.5
28-02-2013,1
01-03-2013,
02-03-2013,0
03-03-2013,0
04-03-2013,0
05-03-2013,0
06-03-2013,0
07-03-2013,0
08-03-2013,8
09-03-2013,0.7
10-03-2013,0
11-03-2013,
12-03-2013,0
13-03-2013,0
14-03-2013,0
15-03-2013,0
16-03-2013,1
17-03-2013,1.5
18-03-2013,0
19-03-2013,0
20-03-2013,0
21-03-2013,0
22-03-2013,0
23-03-2013,0
24-03-2013,0
25-03-2013,0
26-03-2013,3
27-03-2013,0
28-03-2013,
29-03-2013,0
30-03-2013,0
31-03-2013,0
01-04-2013,0
02-04-2013,0
03-04-2013,0
04-04-2013,0
05-04-2013,8
06-04-2013,3
07-04-2013,36.3
08-04-2013,91.5
09-04-2013,0
10-04-2013,0.7
11-04-2013,2.5
12-04-2013,
13-04-2013,2
14-04-2013,0
15-04-2013,2.9
16-04-2013,0
17-04-2013,0
18-04-2013,17.5
19-04-2013,0
20-04-2013,
21-04-2013,
22-04-2013,2
23-04-2013,4
24-04-2013,0
25-04-2013,
26-04-2013,0
27-04-2013,0.4
28-04-2013,29
29-04-2013,0
30-04-2013,0
01-05-2013,
02-05-2013,10.5
03-05-2013,4.9
04-05-2013,2.9
05-05-2013,0
